name,img,isbn,publish_date,pages
崇贤馆藏书·喻世明言（宣纸排印）,https://img.dushu.com/2013/12/29/23033682134711.jpg_200.jpg,9787546137193,2013-10-01,全6册
崇贤馆藏书·二刻拍案惊奇（宣纸排印）,https://img.dushu.com/2013/12/29/23033825666678.jpg_200.jpg,9787546136974,2013-10-01,全7册
崇贤馆藏书·初刻拍案惊奇（宣纸排印）,https://img.dushu.com/2016/04/21/2235416475101.jpg_200.jpg,9787546136967,2013-10-01,全7册
秦殇：谁杀死了秦帝国,https://img.dushu.com/2016/04/15/18224790567631.jpg_200.jpg,9787550250345,2015-05-01,341
孙子兵法与三十六计（文白对照，简体横排，绸面精装16开 全六卷）,https://img.dushu.com/2013/10/31/00480818195835.jpg_200.jpg,9787540227906,2012-06-01,全6册
现代性体验与身份认同：中国现代小说的身体叙事研究,https://img.dushu.com/2016/04/15/18432253298499.jpg_200.jpg,9787807523086,2009-03-01,296 页
文心雕龙今译,https://img.dushu.com/2013/11/22/01224832763542.jpg_200.jpg,9787101095685,2013-09-01,550
子不语译注（金砖珍藏版）,https://img.dushu.com/2014/01/07/03231494718321.jpg_200.jpg,9787542644251,2014-01-01,388
华中国学（第3卷）,https://img.dushu.com/2015/06/12/01384484141565014.jpg_200.jpg,9787568004701,2015-01-01,384
浙江大学古籍研究所中国古典文献学研究丛书：版本目录论丛,https://img.dushu.com/2015/06/12/01392395641565555.jpg_200.jpg,9787101103458,2014-10-01,503
轻松读国学：资治通鉴,https://img.dushu.com/2015/06/12/01392773141567110.jpg_200.jpg,9787547219720,2014-10-01,280
轻松读国学：大学中庸,https://img.dushu.com/2015/06/12/013927778148962650.jpg_200.jpg,9787547220559,2014-10-01,191
轻松读国学：史记,https://img.dushu.com/2015/06/12/0139308148967959.jpg_200.jpg,9787547219683,2014-10-01,286
轻松读国学：唐诗三百首,https://img.dushu.com/2015/06/12/01393019641564894.jpg_200.jpg,9787547219737,2014-10-01,352
好孩子国学课堂：千字文,https://img.dushu.com/2015/06/12/013844810148963062.jpg_200.jpg,9787538589351,2015-01-01,154
好孩子国学课堂：弟子规,https://img.dushu.com/2015/06/12/013844841120245014.jpg_200.jpg,9787538589313,2015-01-01,154
论语（插图版）,https://img.dushu.com/2015/06/12/013846230120241502.jpg_200.jpg,9787518012480,2015-01-01,320
闲情偶寄全编（彩图全解版）,https://img.dushu.com/2015/06/12/013847244120248895.jpg_200.jpg,9787550244726,2015-01-01,430
国学常识,https://img.dushu.com/2015/06/12/01384779041561337.jpg_200.jpg,9787530658932,2015-01-01,242
好孩子国学课堂：三字经,https://img.dushu.com/2015/06/12/013847946148966320.jpg_200.jpg,9787538589368,2015-01-01,154
纳兰词全鉴（彩图全解版）,https://img.dushu.com/2015/06/12/013850634148962991.jpg_200.jpg,9787550245426,2015-01-01,404
国学经典全知道（彩图全解版）,https://img.dushu.com/2015/06/12/01385082141569927.jpg_200.jpg,9787550245396,2015-01-01,436
传习录全解（彩图全解版）,https://img.dushu.com/2015/06/12/013848168120245207.jpg_200.jpg,9787550245365,2015-01-01,425
国学精粹（彩图全解版）,https://img.dushu.com/2015/06/12/01384898041567301.jpg_200.jpg,9787550245402,2015-01-01,438
鬼谷子全解（彩图全解版）,https://img.dushu.com/2015/06/12/013852303120242270.jpg_200.jpg,9787550245372,2015-01-01,396
三字经·百家姓·千字文全编（彩图全解版）,https://img.dushu.com/2015/06/12/013852490148964430.jpg_200.jpg,9787550245440,2015-01-01,429
五经全解（彩图全解版）,https://img.dushu.com/2015/06/12/01385250641562793.jpg_200.jpg,9787550244719,2015-01-01,424
史记全编（彩图精装超值版）,https://img.dushu.com/2015/06/12/013853192120241855.jpg_200.jpg,9787550245464,2015-01-01,
庄子全解（彩图全解版）,https://img.dushu.com/2015/06/12/013853395148967154.jpg_200.jpg,9787550245525,2015-01-01,429
曾国藩全集·精粹典藏本·曾国藩家书·家训：看先贤如何齐家,https://img.dushu.com/2015/06/12/0138537234156709.jpg_200.jpg,9787506834896,2015-01-01,196
